threshold_affinity,threshold_similarity,number_of_pairs,r2_micro,rmse_micro,r2_macro,rmse_macro
0.0,0.0,884727,0.7628986187840797,0.7267195101332611,-47.98646065754091,0.8094435864681973
0.0,0.1,883706,0.7627741755269833,0.7265322424581967,-47.98660245932164,0.8092872551589068
0.0,0.3,665931,0.7660935813884802,0.7146056765363444,-49.6604752712318,0.8025937862428296
0.0,0.5,216699,0.8256978901557014,0.629608595733084,-8.519684113801459,0.7819859927103245
0.0,0.7,97203,0.8524857159599797,0.5932426868622502,-41.17475507438334,0.7541162492954239
0.0,0.9,18167,0.7491354762785547,0.7290194262340366,-202.14638059985828,0.7306439522223732
1.0,0.0,497800,0.7550032933624394,0.7898161207515811,-86.93462937330061,0.9187178046955313
1.0,0.1,497034,0.7547826375166643,0.7897130549571697,-86.9348141289062,0.9185424017029185
1.0,0.3,358143,0.7529342700534125,0.7875919373686678,-91.44321291096495,0.9172708252346092
1.0,0.5,91837,0.7912453299640615,0.7500975583903762,-7.200765295504046,0.90516415481987
1.0,0.7,35591,0.8032791902689416,0.7486587483457048,-52.0123993925979,0.9458202762516331
1.0,0.9,5819,0.6207513154058137,0.9781840752455276,-18.83040882516268,0.9443303196491655
1.5,0.0,359083,0.7593910363478008,0.8209206808750266,-1.8269597285230732e+28,0.9744286652728349
1.5,0.1,358422,0.7591095932936249,0.8208871221735016,-1.8269597285230732e+28,0.974315311809503
1.5,0.3,252513,0.7548339570117434,0.8231846656363628,-3.744201674429397,0.9729176302159833
1.5,0.5,57766,0.7758066386873532,0.8172521550127235,-8.054416263259212,0.9850223159762024
1.5,0.7,20827,0.7753912953172328,0.8405150343568665,-42.96033356846786,1.037914395330889
1.5,0.9,3164,0.5351068009775357,1.1379178760908175,-6.002302051442369e+27,1.0976800819386643
2.0,0.0,246928,0.7657698068655724,0.8589305665269709,-2.452596400776117e+28,1.0259861473955512
2.0,0.1,246379,0.7654332383829374,0.8589833110075571,-2.452596400776117e+28,1.0256143098991148
2.0,0.3,168698,0.7586154256116976,0.8673615876450068,-1.8540920835623576,1.0364379016093124
2.0,0.5,34166,0.7612820618120502,0.8941433846741159,-5.960923665589107,1.050116398516012
2.0,0.7,11742,0.7465295174262769,0.9417411474549665,-10.917068584486092,1.1276715656201404
2.0,0.9,1663,0.4629220279793448,1.3077811320825807,-36.78637105841844,1.26728751311114
2.5,0.0,162067,0.7729084263619881,0.9060162988263548,-2.2308877021051604e+28,1.0748178487796887
2.5,0.1,161647,0.7724774802596631,0.9062114307539646,-2.2308877021051604e+28,1.0746534364686748
2.5,0.3,107127,0.7640644652274179,0.9212505886974764,-0.9584334968280254,1.1097343175789804
2.5,0.5,19498,0.7486275673452684,0.9849253510440691,-5.429120898991047,1.1327978919337398
2.5,0.7,6378,0.718663122828195,1.0584933034930506,-113.44176863859178,1.2684940548024743
2.5,0.9,822,0.41301987869530776,1.4888710712253097,-68.5553194831964,1.4657806964470521
3.0,0.0,97333,0.7787074158839158,0.964590689710874,-2.6272851037188875e+28,1.0891310425338665
3.0,0.1,97025,0.7782144526459214,0.9649114833723347,-2.6272851037188875e+28,1.0899319520427466
3.0,0.3,61681,0.7662652941441137,0.9920327525384764,-5.86928621179078,1.1180113391871165
3.0,0.5,9954,0.7291301713431169,1.1025738060957695,-17.381825494579914,1.1529737740291577
3.0,0.7,3095,0.679724064506545,1.220308887410035,-1.5302986521145862e+28,1.3711055617476458
3.0,0.9,373,0.3269997735064688,1.7452764622412638,-76.26562862306767,1.5575254971146808
3.5,0.0,54377,0.7850811583660116,1.0293513185465906,-3.3114739328123477e+28,1.1691537549681938
3.5,0.1,54187,0.7845107571981788,1.0297459527692105,-3.3114739328123477e+28,1.170111356903626
3.5,0.3,33436,0.769061096046607,1.069263151367176,-3.5123467128019064,1.2338803445502196
3.5,0.5,4904,0.7150740722676849,1.2180436766856049,-13.486534827075829,1.2804890060005596
3.5,0.7,1477,0.6590492532211838,1.350435893358848,-130991.68084944332,1.5354745642180916
3.5,0.9,170,0.3040265260524575,1.9607875323703743,-1.3047378553812778,1.8120935216337208
4.0,0.0,26113,0.7810346116186827,1.1346856642727008,-5.852407184055754e+28,1.2652994293148254
4.0,0.1,26000,0.780225578428232,1.1353806726121345,-9.156202407597907e+26,1.2679157203192903
4.0,0.3,15418,0.7610160391915435,1.1893177680206828,-4.238686633999805e+28,1.304034832621378
4.0,0.5,1948,0.6502883892939435,1.4589881137501874,-1.7442113669263027e+28,1.4125788069777963
4.0,0.7,547,0.5486377620330418,1.6867239215197245,-3.9563818810767355e+28,1.7099697402810277
4.0,0.9,65,0.14722373151126855,2.3476742973371034,-129.82430361564357,2.0741078417263927
