threshold_affinity,threshold_similarity,number_of_pairs,r2_micro,rmse_micro,r2_macro,rmse_macro
0.0,0.0,1265317,0.704115568967121,0.518546175999774,-13.411672707212393,0.5134028100091923
0.0,0.1,1265303,0.704112816965877,0.5185488030906935,-13.41167235142552,0.5134034389637798
0.0,0.3,1243018,0.700767352599531,0.5202825798414322,-13.412561651621537,0.5141785230760426
0.0,0.5,309931,0.6869760687486953,0.5229329886152265,-1.3251316608514663,0.4995754180174908
0.0,0.7,15040,0.7577753344530969,0.5141918173517922,0.23831476268195195,0.48508083921960643
0.0,0.9,1710,0.7617613166004935,0.5294321549912824,-0.3715032046176123,0.4436838768914904
1.0,0.0,482448,0.6994659181432237,0.6931695052958045,0.4093229981277695,0.6921589157279249
1.0,0.1,482447,0.6994653367861807,0.6931701956323455,0.4093229995858468,0.6921593613956583
1.0,0.3,473223,0.6957414635755068,0.696094491488629,0.40768362568796795,0.6938768882443241
1.0,0.5,112468,0.6681102838145119,0.7043207394931766,-0.2206990976002709,0.6914471769330566
1.0,0.7,4529,0.7147708524834029,0.655408182604347,-0.19529556153137453,0.6360010751574605
1.0,0.9,381,0.6813684047234609,0.7081590423866057,-5.39384815354934,0.556885238084333
1.5,0.0,290589,0.6800563701391026,0.7871120974562599,-0.29876722205570067,0.7822844818984107
1.5,0.1,290589,0.6800563701391026,0.7871120974562599,-0.29876722205570067,0.7822844818984107
1.5,0.3,285671,0.6770600761298439,0.7895534187224241,-0.299817824577911,0.7829830069106167
1.5,0.5,66161,0.6539008749168562,0.7987433470794073,0.21402433130256926,0.7617830059735123
1.5,0.7,2360,0.7186543062151021,0.7199896691312603,-2.98203401061528e+26,0.697252063871531
1.5,0.9,194,0.6637077685303449,0.8020361348498157,-8.36674125162862,0.5722413977020028
2.0,0.0,164806,0.6711590978630944,0.887186733487722,0.26748994826508005,0.8496799573559181
2.0,0.1,164806,0.6711590978630944,0.887186733487722,0.26748994826508005,0.8496799573559181
2.0,0.3,162042,0.6685200464413262,0.8897000029362887,0.26658986556220765,0.8501088591840109
2.0,0.5,36676,0.6474091005045022,0.8994767893031858,0.40332059437177165,0.8334445660387689
2.0,0.7,1156,0.7357092111506238,0.7731574708643412,-7.132640929968623,0.668444501922503
2.0,0.9,91,0.6746278846881937,0.8790112273836395,0.4081709980698451,0.5842678678038008
2.5,0.0,92505,0.6634203349961163,0.9976279507708414,-7.650915551425871e+27,0.9481956238094911
2.5,0.1,92505,0.6634203349961163,0.9976279507708414,-7.650915551425871e+27,0.9481956238094911
2.5,0.3,90839,0.6606526094914409,1.0009307616803897,-7.650915551425871e+27,0.9475318309125392
2.5,0.5,19705,0.6384461417132756,1.015800724090464,-2.3037503769932654e+26,0.9174067902376344
2.5,0.7,554,0.7522429039353518,0.834920802140378,-2.024399452110213e+28,0.7960819788827429
2.5,0.9,42,0.6712327094831306,0.9708445845189052,0.6761566100357672,0.5320146102379367
3.0,0.0,43007,0.6372893903796666,1.1792187911691348,-44.73526816404297,1.0020224744242705
3.0,0.1,43007,0.6372893903796666,1.1792187911691348,-44.73526816404297,1.0020224744242705
3.0,0.3,42099,0.6340410601920539,1.1843846293789138,-44.727267441003455,1.0000461903261417
3.0,0.5,8642,0.6063109359811555,1.2121783254398044,-2.7594367603526493e+27,0.9597092123577933
3.0,0.7,236,0.7625144115677909,0.901720293873265,-0.0784507279827657,0.6837409359263596
3.0,0.9,25,0.6561169500683182,1.0657900014595356,0.562567079738578,0.5836330454937325
3.5,0.0,17091,0.596298915300158,1.4494117941545765,-0.5863126437525373,1.039294378701233
3.5,0.1,17091,0.596298915300158,1.4494117941545765,-0.5863126437525373,1.039294378701233
3.5,0.3,16598,0.592146455031049,1.460185330800757,-5.112697981085881e+27,1.0364880358347537
3.5,0.5,3055,0.5403697990582335,1.5678322221103964,0.19610389337823836,0.9449753331077463
3.5,0.7,77,0.7681072475778404,0.975421561448517,-4.403569087330123,0.5849424511857955
3.5,0.9,6,0.8708871594312739,0.6879467418751425,0.0,0.43297544763305673
4.0,0.0,5812,0.492670909274861,1.989749370543369,-3.9929066531741983e+27,1.0898776005497108
4.0,0.1,5812,0.492670909274861,1.989749370543369,-3.9929066531741983e+27,1.0898776005497108
4.0,0.3,5636,0.4875089082584966,2.008269747326789,-7.188332027886251e+27,1.0882765759099846
4.0,0.5,994,0.4016972163405962,2.2515954893052927,-3.8081707688975675e+27,0.9196078562379251
4.0,0.7,12,0.4528346415481467,1.6798574168832139,0.0,0.5840432250830966
