target,drug1,drug2,affinity1,affinity2
Q15139,CHEMBL112602,CHEMBL338966,9.798970004,10.869551079
Q15139,CHEMBL1202927,CHEMBL26501,11.798970004,13.864471553
Q15139,CHEMBL130049,CHEMBL293750,12.844727495,10.351811973
Q15139,CHEMBL130049,CHEMBL338935,12.844727495,13.953871964
Q15139,CHEMBL130181,CHEMBL337026,12.728932138,14.145757491
Q15139,CHEMBL130181,CHEMBL338049,12.728932138,13.986056648
Q15139,CHEMBL130181,CHEMBL574737,12.728932138,13.897412227
Q15139,CHEMBL131193,CHEMBL335012,12.25490196,13.608638306
Q15139,CHEMBL131193,CHEMBL337297,12.25490196,13.543697499
Q15139,CHEMBL131193,CHEMBL338956,12.25490196,13.622878745
Q15139,CHEMBL131426,CHEMBL293750,12.821246399,10.351811973
Q15139,CHEMBL131426,CHEMBL338935,12.821246399,13.953871964
Q15139,CHEMBL131456,CHEMBL335020,10.1,13.122276395
Q15139,CHEMBL131456,CHEMBL338956,10.1,13.622878745
Q15139,CHEMBL131715,CHEMBL335012,12.555931956,13.608638306
Q15139,CHEMBL131715,CHEMBL338956,12.555931956,13.622878745
Q15139,CHEMBL132348,CHEMBL293750,13.437242168,10.351811973
Q15139,CHEMBL132348,CHEMBL434415,13.437242168,12.300659451
Q15139,CHEMBL133209,CHEMBL338966,9.798970004,10.869551079
Q15139,CHEMBL134536,CHEMBL334337,10.32184875,11.622878745
Q15139,CHEMBL135491,CHEMBL338966,9.798970004,10.869551079
Q15139,CHEMBL135881,CHEMBL338966,9.798970004,10.869551079
Q15139,CHEMBL162621,CHEMBL354246,14.798970004,13.58148606
Q15139,CHEMBL193697,CHEMBL60254,12.293820026,14.37572413
Q15139,CHEMBL197538,CHEMBL200381,10.622878745,9.497940009
Q15139,CHEMBL26501,CHEMBL421565,13.864471553,12.32184875
Q15139,CHEMBL266487,CHEMBL329274,12.821246399,14.1
Q15139,CHEMBL277008,CHEMBL338966,9.798970004,10.869551079
Q15139,CHEMBL293750,CHEMBL335648,10.351811973,13.594850022
Q15139,CHEMBL293750,CHEMBL337026,10.351811973,14.145757491
Q15139,CHEMBL293750,CHEMBL337035,10.351811973,13.487216143
Q15139,CHEMBL293750,CHEMBL338049,10.351811973,13.986056648
Q15139,CHEMBL293750,CHEMBL338935,10.351811973,13.953871964
Q15139,CHEMBL293750,CHEMBL339799,10.351811973,12.69345982
Q15139,CHEMBL293750,CHEMBL423731,10.351811973,11.622878745
Q15139,CHEMBL293750,CHEMBL574737,10.351811973,13.897412227
Q15139,CHEMBL294653,CHEMBL337026,11.336572006,14.145757491
Q15139,CHEMBL294653,CHEMBL338049,11.336572006,13.986056648
Q15139,CHEMBL294653,CHEMBL339799,11.336572006,12.69345982
Q15139,CHEMBL294653,CHEMBL574737,11.336572006,13.897412227
Q15139,CHEMBL294653,CHEMBL83790,11.336572006,14.757577319
Q15139,CHEMBL324765,CHEMBL338966,9.798970004,10.869551079
Q15139,CHEMBL327291,CHEMBL95737,11.196910013,10.1
Q15139,CHEMBL327291,CHEMBL97026,11.196910013,10.145757491
Q15139,CHEMBL327291,CHEMBL97448,11.196910013,10.058607315
Q15139,CHEMBL327291,CHEMBL97796,11.196910013,10.020818754
Q15139,CHEMBL334337,CHEMBL334461,11.622878745,9.923908741
Q15139,CHEMBL334337,CHEMBL338967,11.622878745,9.798970004
Q15139,CHEMBL334337,CHEMBL405405,11.622878745,9.986056648
Q15139,CHEMBL334360,CHEMBL334461,11.020818754,9.923908741
Q15139,CHEMBL334360,CHEMBL338967,11.020818754,9.798970004
Q15139,CHEMBL334360,CHEMBL405405,11.020818754,9.986056648
Q15139,CHEMBL335012,CHEMBL338449,13.608638306,12.555931956
Q15139,CHEMBL335012,CHEMBL338944,13.608638306,12.344125144
Q15139,CHEMBL335012,CHEMBL339364,13.608638306,12.351811973
Q15139,CHEMBL335012,CHEMBL434415,13.608638306,12.300659451
Q15139,CHEMBL335020,CHEMBL434037,13.122276395,11.923908741
Q15139,CHEMBL335932,CHEMBL434037,12.986056648,11.923908741
Q15139,CHEMBL336603,CHEMBL338966,9.798970004,10.869551079
Q15139,CHEMBL336626,CHEMBL338966,9.798970004,10.869551079
Q15139,CHEMBL337026,CHEMBL338155,14.145757491,13.117728767
Q15139,CHEMBL337026,CHEMBL339799,14.145757491,12.69345982
