,drug1,drug2,cliff
0,CHEMBL1087421,CHEMBL1088633,0
1,CHEMBL206783,CHEMBL207037,0
2,CHEMBL206783,CHEMBL207246,0
3,CHEMBL206783,CHEMBL207584,0
4,CHEMBL206783,CHEMBL207674,0
5,CHEMBL206783,CHEMBL208292,0
6,CHEMBL206783,CHEMBL377772,0
7,CHEMBL206783,CHEMBL380454,0
8,CHEMBL206955,CHEMBL382638,0
9,CHEMBL207037,CHEMBL207246,0
10,CHEMBL207037,CHEMBL207584,0
11,CHEMBL207037,CHEMBL207674,0
12,CHEMBL207037,CHEMBL208292,0
13,CHEMBL207037,CHEMBL377772,0
14,CHEMBL207037,CHEMBL380454,0
15,CHEMBL207130,CHEMBL207718,0
16,CHEMBL207130,CHEMBL383246,0
17,CHEMBL207130,CHEMBL425601,0
18,CHEMBL207246,CHEMBL207584,0
19,CHEMBL207246,CHEMBL207674,0
20,CHEMBL207246,CHEMBL208292,0
21,CHEMBL207246,CHEMBL377772,0
22,CHEMBL207246,CHEMBL380454,0
23,CHEMBL207445,CHEMBL207815,0
24,CHEMBL207445,CHEMBL208286,0
25,CHEMBL207445,CHEMBL379601,0
26,CHEMBL207445,CHEMBL379905,0
27,CHEMBL207584,CHEMBL207674,0
28,CHEMBL207584,CHEMBL208292,0
29,CHEMBL207584,CHEMBL377772,0
30,CHEMBL207584,CHEMBL380454,0
31,CHEMBL207674,CHEMBL208292,0
32,CHEMBL207674,CHEMBL377772,0
33,CHEMBL207674,CHEMBL380454,0
34,CHEMBL207687,CHEMBL208118,0
35,CHEMBL207687,CHEMBL211003,0
36,CHEMBL207687,CHEMBL376967,0
37,CHEMBL207687,CHEMBL380006,0
38,CHEMBL207687,CHEMBL380386,0
39,CHEMBL207687,CHEMBL380889,0
40,CHEMBL207687,CHEMBL382823,0
41,CHEMBL207718,CHEMBL383246,0
42,CHEMBL207718,CHEMBL425601,0
43,CHEMBL208048,CHEMBL208286,0
44,CHEMBL208048,CHEMBL379905,0
45,CHEMBL208118,CHEMBL211003,0
46,CHEMBL208118,CHEMBL376967,0
47,CHEMBL208118,CHEMBL380006,0
48,CHEMBL208118,CHEMBL380386,0
