drug1,drug2,smiles1,smiles2,cliff,target,split,UMAP_Dimension_1,UMAP_Dimension_2
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 361::US9745328, Compound 361::US9884878, Compound 361",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ccc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCC(CO)CC1,0,517,0.0,-0.28943902,1.8985257
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 310::US9745328, Compound 310::US9884878, Compound 310",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1ccccc1NS(=O)(=O)N1CCOCC1,1,517,0.0,-15.7210245,-1.655242
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 828::US9745328, Compound 828::US9884878, Compound 828",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1cccnc1S(=O)(=O)C1CC1,1,517,0.0,-16.965319,-1.3216279
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 579::US9745328, Compound 579::US9884878, Compound 579",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1nc(cs1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCCC1,1,517,0.0,-17.162058,-1.0191199
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 303::US9745328, Compound 303::US9884878, Compound 303",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ncc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,1,517,0.0,-15.71851,-1.6724648
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 142::US9745328, Compound 142::US9884878, Compound 142",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOC(CO)C1,0,517,0.0,-2.5512037,4.3801136
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 68::US9745328, Compound 68::US9884878, Compound 68",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCC(CO)CC1,0,517,0.0,0.34333676,-0.980239
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 53::US9745328, Compound 53::US9884878, Compound 53",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCCCCC1,0,517,0.0,-0.06813244,0.6426577
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 477::US9745328, Compound 477::US9884878, Compound 477",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)c1ccccc1,0,517,0.0,-2.0400858,4.3841486
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 360::US9745328, Compound 360::US9884878, Compound 360",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1ccc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCC(O)CC1,0,517,0.0,-3.0480435,4.803308
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 183::US9745328, Compound 183::US9884878, Compound 183",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1NS(=O)(=O)N1CCOCC1,0,517,0.0,-2.4016407,5.650866
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 132::US9745328, Compound 132::US9884878, Compound 132",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)NCCCCCO,0,517,0.0,-0.21858953,-1.0532187
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 573::US9745328, Compound 573::US9884878, Compound 573",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1)-c1ccccc1S(=O)(=O)N1CCOCC1,1,517,0.0,-16.406897,-1.6510397
"US9079866, 44::US9745328, Compound 44::US9884878, Compound 44","US9079866, 829::US9745328, Compound 829::US9884878, Compound 829",Nc1cnc(cn1)-c1ccc(cc1F)-c1ccccc1S(=O)(=O)N1CCOCC1,Nc1cnc(cn1)-c1ccc(cc1F)-c1cccnc1S(=O)(=O)C1CC1,0,517,0.0,0.2951061,0.71399367
